combo,ilr1,ilr2
100_0_0,-1.8343099025298557,-1.0590393160028087
20_0_80,-0.7472148302592556,1.563309289406439
80_20_0,-0.9802581434685471,-1.4287616697922125
10_90_0,1.5536723984241863,-1.193870241241131
0_0_100,0,2.1180786320056173
0_100_0,1.8343099025298557,-1.0590393160028087
20_80_0,0.9802581434685471,-1.4287616697922125
30_70_0,0.5991300627646441,-1.5397781442578955
90_10_0,-1.5536723984241863,-1.193870241241131
40_30_30,-0.20342194425645407,-0.11744571427554085
80_0_20,-1.7274729737278027,-0.13454761961422668
70_30_0,-0.5991300627646441,-1.5397781442578955
50_50_0,0,-1.6109576164963353
10_0_90,-0.2570857585249824,1.942454886814609
90_0_10,-1.8107581569491686,-0.7485846455734779
70_0_30,-1.6330520205017194,0.2510272176038007
60_0_40,-1.5240510294713487,0.5488503976682026
30_0_70,-1.0339219577370753,1.2887509266540949
50_0_50,-1.3951302203058553,0.8054788082481676
70_10_20,-1.3759662619767372,-0.22846218874122406
60_20_20,-0.776836199212093,-0.44850658873134774
40_60_0,0.28670712747781957,-1.594292107020116
70_20_10,-0.8858371902424638,-1.0773906432515568
40_40_20,0,-0.5659523030068886
