method,stage,stage_order,x,n_species,mean_persist,median_persist,frac_gt_05
pipe,0,0,0,103,0.983223343536686,1,0.990291262135922
pipe,1,1,4.80760409693116,103,0.983224795424796,1,0.990291262135922
pipe,2,2,9.53339565325597,103,0.983230612877555,1,0.990291262135922
pipe,3,3,14.25989289567,103,0.983229337623239,1,0.990291262135922
pipe,4,4,19.0119359745125,103,0.98323673872425,1,0.990291262135922
pipe,5,5,23.7644495107478,103,0.983245694610061,1,0.990291262135922
pipe,6,6,28.4890178778514,103,0.983205338213496,1,0.990291262135922
pipe,7,7,33.2170676296616,103,0.983619138850444,1,0.990291262135922
pipe,8,8,37.9571610907272,103,0.98348725942562,1,0.990291262135922
pipe,9,9,42.6833760587056,103,0.983782524116733,1,0.990291262135922
pipe,10,10,47.4038514464918,103,0.983450932683221,1,0.990291262135922
pipe,11,11,52.1254559320208,103,0.983087137265924,1,0.990291262135922
pipe,12,12,56.853176363656,103,0.982570185627868,1,0.990291262135922
pipe,13,13,61.5726167451782,103,0.981862216339358,1,0.990291262135922
pipe,14,14,66.2826479788445,103,0.980467524014045,1,0.990291262135922
pipe,15,15,70.990185788329,103,0.978277277694437,0.999999999999783,0.990291262135922
pipe,16,16,75.7149423383897,103,0.974834493559668,0.999999999999267,0.990291262135922
pipe,17,17,80.448919853349,103,0.972254484741911,0.999999999960799,0.990291262135922
pipe,18,18,85.1681720519141,103,0.954725848205542,0.999999999999976,0.951456310679612
pipe,19,19,89.8806026182836,103,0.942519020447578,0.999999991837704,0.951456310679612
pipe,20,20,94.5958559290099,103,0.915691406472176,0.999999866959132,0.902912621359223
pipe,21,21,99.3175074602781,103,0.74935133593828,0.961021479813671,0.786407766990291
pipe,22,22,99.7949276224824,103,0.566397431346952,0.762477595550201,0.601941747572815
rank,0,0,0,103,0.983223343536686,1,0.990291262135922
rank,1,1,4.80760409693116,103,0.983212437002748,1,0.990291262135922
rank,2,2,9.53339565325597,103,0.983179473088248,1,0.990291262135922
rank,3,3,14.25989289567,103,0.983115790774017,1,0.990291262135922
rank,4,4,19.0119359745125,103,0.982644709069127,1,0.990291262135922
rank,5,5,23.7644495107478,103,0.982238562499651,1,0.990291262135922
rank,6,6,28.4890178778514,103,0.982038541709104,1,0.990291262135922
rank,7,7,33.2170676296616,103,0.981705070081986,1,0.990291262135922
rank,8,8,37.9571610907272,103,0.98040470546525,1,0.990291262135922
rank,9,9,42.6833760587056,103,0.979634288937691,1,0.990291262135922
rank,10,10,47.4038514464918,103,0.979214166554508,1,0.990291262135922
rank,11,11,52.1254559320208,103,0.978473072494403,1,0.990291262135922
rank,12,12,56.853176363656,103,0.977512055553315,1,0.990291262135922
rank,13,13,61.5726167451782,103,0.97441592596175,1,0.980582524271845
rank,14,14,66.2826479788445,103,0.973604574165252,1,0.980582524271845
rank,15,15,70.990185788329,103,0.969448912226227,1,0.980582524271845
rank,16,16,75.7149423383897,103,0.965221099270667,0.999999999999992,0.980582524271845
rank,17,17,80.448919853349,103,0.950732280466612,0.999999999999996,0.970873786407767
rank,18,18,85.1681720519141,103,0.935374056720654,1,0.951456310679612
rank,19,19,89.8806026182836,103,0.899489794200887,1,0.912621359223301
rank,20,20,94.5958559290099,103,0.850109328503774,0.999999999989284,0.83495145631068
rank,21,21,99.3175074602781,103,0.644126772858025,0.920055607011366,0.650485436893204
rank,22,22,99.7949276224824,103,0.352907053657719,0.232164288831946,0.349514563106796
