stage,alive_end,removed_end,pct_removed_end
1,2023401,102190,4.80760409693116
2,1922950,202641,9.53339565325597
3,1822484,303107,14.25989289567
4,1721475,404116,19.0119359745125
5,1620456,505135,23.7644495107478
6,1520031,605560,28.4890178778514
7,1419532,706059,33.2170676296616
8,1318777,806814,37.9571610907272
9,1218317,907274,42.6833760587056
10,1117979,1007612,47.4038514464918
11,1017617,1107974,52.1254559320208
12,917125,1208466,56.853176363656
13,816809,1308782,61.5726167451782
14,716693,1408898,66.2826479788445
15,616630,1508961,70.990185788329
16,516201,1609390,75.7149423383897
17,415576,1710015,80.448919853349
18,315264,1810327,85.1681720519141
19,215097,1910494,89.8806026182836
20,114870,2010721,94.5958559290099
21,14507,2111084,99.3175074602781
22,4359,2121232,99.7949276224824
